A|Golduck
B|Hypno
C|Golbat
D|Mewtwo
E|Snorlax
F|Magikarp
G|MissingNo.
H|MissingNo.
I|Muk
J|MissingNo.
K|Kingler
L|Cloyster
M|MissingNo.
N|Electrode
O|Clefable
P|Weezing
Q|Persian
R|Marowak
S|MissingNo.
T|Haunter
U|Abra
V|Alakazam
W|Pidgeotto
X|Pidgeot
Y|Starmie
Z|Bulbasaur
a|MissingNo.
b|MissingNo.
c|MissingNo.
d|Ponyta
e|Rapidash
f|Rattata
g|Raticate
h|Nidorino
i|Nidorina
j|Geodude
k|Porygon
l|Aerodactyl
m|MissingNo.
n|Magnemite
o|MissingNo.
p|MissingNo.
q|Charmander
r|Squirtle 
s|Charmeleon
t|Wartortle
u|Charizard
v|MissingNo.
w|MissingNo.
x|MissingNo.
y|MissingNo.
z|Oddish
 |MissingNo.
(|Venusaur
)|Tentacruel
;|Goldeen
[|Seaking
#|Gary 1
!|Cooltrainer M
-|Chief
?|Rocket
\|Professor Oak
.|Gary 2
*|Gentleman
/|Gary 3
,|Lorelei
]|MissingNo.
:|MissingNo.
